year,country,GNI,female_mortality,male_mortality,infant_mortality,expenditure,physicians,rural,school,urban,Development
2012,Cambodia,880,156.847,211.09,33.9,81.94655652,0.22,79.808,NA,20.192,Undeveloped
1994,"Congo, Democratic Republic",160,354.246,408.6088,112.3,NA,NA,71.9074,NA,28.0926,Undeveloped
1995,"Congo, Democratic Republic",140,357.508,412.0532,112.3,71.48872307,NA,71.82,2.51691,28.18,Undeveloped
1996,"Congo, Democratic Republic",130,360.77,415.4976,112.3,73.39260026,0.069,71.5954,NA,28.4046,Undeveloped
1997,"Congo, Democratic Republic",120,364.032,418.942,112.3,72.81238698,NA,71.3708,NA,28.6292,Undeveloped
1998,"Congo, Democratic Republic",120,360.77,415.4976,112.3,75.63161714,NA,71.1462,NA,28.8538,Undeveloped
1999,"Congo, Democratic Republic",110,357.508,412.0532,112.3,73.98182592,NA,70.9216,1.47819,29.0784,Undeveloped
2000,"Congo, Democratic Republic",90,354.246,408.6088,112.3,76.76116534,NA,70.697,NA,29.303,Undeveloped
2001,"Congo, Democratic Republic",80,350.984,405.1644,112.3,73.46518343,NA,70.3258,NA,29.6742,Undeveloped
2002,"Congo, Democratic Republic",90,347.722,401.72,112.3,72.67791229,NA,69.9546,NA,30.0454,Undeveloped
2003,"Congo, Democratic Republic",110,345.6924,400.5522,112.3,74.22030252,NA,69.5834,NA,30.4166,Undeveloped
2004,"Congo, Democratic Republic",120,343.6628,399.3844,112.3,75.79338451,0.107,69.2122,NA,30.7878,Undeveloped
2005,"Congo, Democratic Republic",130,341.6332,398.2166,112.3,73.95723506,NA,68.841,NA,31.159,Undeveloped
2006,"Congo, Democratic Republic",140,339.6036,397.0488,111.9,75.10319255,NA,68.3274,4.53075,31.6726,Undeveloped
2007,"Congo, Democratic Republic",150,337.574,395.881,110.7,75.70663723,NA,67.8138,4.55632,32.1862,Undeveloped
2008,"Congo, Democratic Republic",170,334.489,393.0466,108.9,74.05172939,NA,67.3002,5.72721,32.6998,Undeveloped
2009,"Congo, Democratic Republic",180,331.404,390.2122,106.7,64.8173798,NA,66.7866,6.77371,33.2134,Undeveloped
2010,"Congo, Democratic Republic",190,328.319,387.3778,104.5,61.30599271,NA,66.273,NA,33.727,Undeveloped
2011,"Congo, Democratic Republic",200,325.234,384.5434,102.2,70.02766256,NA,65.721,8.1253,34.279,Undeveloped
2012,"Congo, Democratic Republic",230,322.149,381.709,99.9,66.77048771,NA,65.169,8.23363,34.831,Undeveloped
1994,Haiti,NA,284.858,345.2906,89.6,NA,NA,68.226,NA,31.774,Undeveloped
1995,Haiti,NA,282.02,343.8634,87.1,77.04402516,0.16,67.41,NA,32.59,Undeveloped
1996,Haiti,NA,279.182,342.4362,84.6,83.28855454,NA,66.808,NA,33.192,Undeveloped
1997,Haiti,NA,276.344,341.009,82.1,86.24938393,NA,66.206,NA,33.794,Undeveloped
1998,Haiti,NA,275.4756,339.807,79.7,73.54709419,0.25,65.604,NA,34.396,Undeveloped
1999,Haiti,NA,274.6072,338.605,77.4,72.83680175,NA,65.002,NA,34.998,Undeveloped
2000,Haiti,NA,273.7388,337.403,75.2,69.70856638,NA,64.4,NA,35.6,Undeveloped
2001,Haiti,NA,272.8704,336.201,73,71.77328844,NA,62.7036,NA,37.2964,Undeveloped
2002,Haiti,NA,272.002,334.999,71.1,71.15132442,NA,61.0072,NA,38.9928,Undeveloped
2003,Haiti,NA,266.3122,328.5812,69.3,74.26717386,NA,59.3108,NA,40.6892,Undeveloped
2004,Haiti,370,260.6224,322.1634,67.6,75.93955061,NA,57.6144,NA,42.3856,Undeveloped
2005,Haiti,410,254.9326,315.7456,65.9,73.08286155,NA,55.918,NA,44.082,Undeveloped
2006,Haiti,480,249.2428,309.3278,64.4,54.51786131,NA,54.3364,NA,45.6636,Undeveloped
2007,Haiti,550,243.553,302.91,62.9,54.47800267,NA,52.7548,NA,47.2452,Undeveloped
2008,Haiti,620,238.4324,298.1358,61.6,58.33742572,NA,51.1732,NA,48.8268,Undeveloped
2009,Haiti,680,233.3118,293.3616,60.3,54.47800267,NA,49.5916,NA,50.4084,Undeveloped
2010,Haiti,650,228.1912,288.5874,73.1,38.95852114,NA,48.01,NA,51.99,Undeveloped
2011,Haiti,700,223.0706,283.8132,57.7,3.542439899,NA,46.6874,NA,53.3126,Undeveloped
2012,Haiti,760,217.95,279.039,56.5,4.510491421,NA,45.3648,NA,54.6352,Undeveloped
1994,Moldova,460,159.6362,310.6308,29.1,NA,3.56430006,53.6124,NA,46.3876,Undeveloped
1995,Moldova,470,162.0918,317.3232,29.6,76.50658124,3.513,53.706,30.18247,46.294,Undeveloped
1996,Moldova,480,164.5474,324.0156,29.6,79.13934915,3.562,54.047,25.91554,45.953,Undeveloped
1997,Moldova,500,167.003,330.708,29,78.88343128,3.582,54.388,27.66136,45.612,Undeveloped
1998,Moldova,460,164.4246,328.1862,28,83.08842749,3.631,54.729,NA,45.271,Undeveloped
1999,Moldova,400,161.8462,325.6644,26.7,86.17276066,3.245,55.07,32.69492,44.93,Undeveloped
2000,Moldova,370,159.2678,323.1426,25.3,83.33850093,3.18,55.411,32.52967,44.589,Undeveloped
2001,Moldova,400,156.6894,320.6208,23.9,85.88152514,2.694,55.6962,31.7273,44.3038,Undeveloped
2002,Moldova,460,154.111,318.099,22.5,79.44031884,NA,55.9814,32.20523,44.0186,Undeveloped
2003,Moldova,570,153.0794,315.9792,21.4,79.93305027,2.636,56.2666,33.29884,43.7334,Undeveloped
2004,Moldova,730,152.0478,313.8594,20.4,79.57877203,NA,56.5518,34.35557,43.4482,Undeveloped
2005,Moldova,890,151.0162,311.7396,19.5,82.12289605,NA,56.837,36.09843,43.163,Undeveloped
2006,Moldova,1030,149.9846,309.6198,18.8,82.92685588,2.66,56.0824,39.40245,43.9176,Undeveloped
2007,Moldova,1160,148.953,307.5,18,83.32425515,2.668,55.3278,41.96652,44.6722,Undeveloped
2008,Moldova,1500,147.2366,305.4264,17.3,85.41233254,NA,54.5732,39.92865,45.4268,Undeveloped
2009,Moldova,1570,145.5202,303.3528,16.6,84.81563806,NA,53.8186,37.6936,46.1814,Undeveloped
2010,Moldova,1820,143.8038,301.2792,16.1,82.79120879,2.677,53.064,36.93401,46.936,Undeveloped
2011,Moldova,1980,142.0874,299.2056,15.6,82.82378436,3.643,52.3444,37.78241,47.6556,Undeveloped
2012,Moldova,2070,140.371,297.132,15.1,83.23625168,2.859,51.6248,38.20207,48.3752,Undeveloped
1994,Paraguay,NA,148.3888,201.082,32.1,NA,0.280099988,48.5564,NA,51.4436,Undeveloped
1995,Paraguay,1670,148.1622,200.833,31.2,90.36651698,0.73,47.869,9.31261,52.131,Undeveloped
1996,Paraguay,1830,147.9356,200.584,30.3,89.19805896,NA,47.229,9.3337,52.771,Undeveloped
1997,Paraguay,1830,147.709,200.335,29.5,85.31562622,1.098,46.589,NA,53.411,Undeveloped
1998,Paraguay,1700,147.1122,197.841,28.7,86.47165081,NA,45.949,NA,54.051,Undeveloped
1999,Paraguay,1550,146.5154,195.347,27.9,83.70331884,NA,45.309,13.03003,54.691,Undeveloped
2000,Paraguay,1350,145.9186,192.853,27.1,86.60992861,1.17,44.669,15.71809,55.331,Undeveloped
2001,Paraguay,1280,145.3218,190.359,26.3,84.93796567,NA,44.0422,17.58322,55.9578,Undeveloped
2002,Paraguay,1170,144.725,187.865,25.6,85.60007313,1.107,43.4154,25.75047,56.5846,Undeveloped
2003,Paraguay,1040,143.0146,185.8514,24.8,84.89552633,NA,42.7886,24.49355,57.2114,Undeveloped
2004,Paraguay,1110,141.3042,183.8378,24,85.2439173,NA,42.1618,24.76344,57.8382,Undeveloped
2005,Paraguay,1210,139.5938,181.8242,23.3,87.07418877,NA,41.535,25.43059,58.465,Undeveloped
2006,Paraguay,1440,137.8834,179.8106,22.6,87.61786908,NA,40.9532,NA,59.0468,Undeveloped
2007,Paraguay,1780,136.173,177.797,21.9,89.50343895,NA,40.3714,28.67236,59.6286,Undeveloped
2008,Paraguay,2290,135.12,177.3978,21.2,89.23947039,NA,39.7896,34.01438,60.2104,Undeveloped
2009,Paraguay,2380,134.067,176.9986,20.7,91.28281207,NA,39.2078,36.5878,60.7922,Undeveloped
2010,Paraguay,2820,133.014,176.5994,20,91.51744299,NA,38.626,34.51367,61.374,Undeveloped
2011,Paraguay,3170,131.961,176.2002,19.4,91.3785346,NA,38.0952,51.04275,61.9048,Undeveloped
2012,Paraguay,3400,130.908,175.801,18.8,91.98889824,NA,37.5644,NA,62.4356,Undeveloped
1994,Argentina,7570,99.1198,193.3022,21.4,NA,NA,11.68,36.85111,88.32,Developed
1995,Argentina,7360,97.8212,190.1998,20.8,69.52491309,2.68,11.346,NA,88.654,Developed
1996,Argentina,7730,96.5226,187.0974,20.2,70.38440715,NA,11.0518,NA,88.9482,Developed
1997,Argentina,8140,95.224,183.995,19.6,63.21169192,NA,10.7576,NA,89.2424,Developed
1998,Argentina,8020,94.4186,182.8788,19.1,63.41713699,3.01,10.4634,46.01428,89.5366,Developed
1999,Argentina,7570,93.6132,181.7626,18.5,63.65391071,NA,10.1692,47.88292,89.8308,Developed
2000,Argentina,7470,92.8078,180.6464,18,62.98260149,NA,9.875,53.0705,90.125,Developed
2001,Argentina,7000,92.0024,179.5302,17.6,64.01160803,NA,9.6236,58.27672,90.3764,Developed
2002,Argentina,4050,91.197,178.414,17.1,64.2157975,NA,9.3722,62.22986,90.6278,Developed
2003,Argentina,3670,89.6876,176.1788,16.6,64.408088,NA,9.1208,64.86005,90.8792,Developed
2004,Argentina,3590,88.1782,173.9436,15.9,64.06195329,3.155,8.8694,65.35837,91.1306,Developed
2005,Argentina,4480,86.6688,171.7084,15.3,64.29765174,3.21,8.618,63.98481,91.382,Developed
2006,Argentina,5170,85.1594,169.4732,14.7,64.14417671,NA,8.4246,67.09057,91.5754,Developed
2007,Argentina,NA,83.65,167.238,14.2,61.51084345,NA,8.2312,66.72804,91.7688,Developed
2008,Argentina,NA,82.7466,165.3962,13.8,59.24364052,NA,8.0378,68.6869,91.9622,Developed
2009,Argentina,NA,81.8432,163.5544,13.5,59.24424869,NA,7.8444,71.25094,92.1556,Developed
2010,Argentina,NA,80.9398,161.7126,13.3,59.96565484,3.21,7.651,74.82966,92.349,Developed
2011,Argentina,NA,80.0364,159.8708,13,62.81153439,NA,7.5052,78.62611,92.4948,Developed
2012,Argentina,NA,79.133,158.029,12.7,65.2842038,NA,7.3594,NA,92.6406,Developed
1994,Iceland,24980,68.528,95.711,4.2,NA,3,8.546,34.00617,91.454,Developed
1995,Iceland,24810,71.572,100.845,4.1,100.0083535,3,8.37,35.49457,91.63,Developed
1996,Iceland,26590,58.121,95.244,3.9,100.0075013,3.1,8.2158,35.87764,91.7842,Developed
1997,Iceland,27690,63.886,91.951,3.7,100,3.3,8.0616,37.75963,91.9384,Developed
1998,Iceland,28400,55.628,84.117,3.5,99.99961037,3.3,7.9074,38.50176,92.0926,Developed
1999,Iceland,29590,58.621,92.833,3.3,99.99779132,3.4,7.7532,40.0246,92.2468,Developed
2000,Iceland,30800,59.137,98.783,3.1,100.0020311,3.4,7.599,45.48106,92.401,Developed
2001,Iceland,29660,54.275,85.06,3,100.0016028,3.5,7.4718,47.63999,92.5282,Developed
2002,Iceland,29520,54.403,82.829,2.8,100.0011325,3.6,7.3446,54.0475,92.6554,Developed
2003,Iceland,32110,50.654,66.937,2.7,92.60091073,3.6,7.2174,62.16292,92.7826,Developed
2004,Iceland,40090,50.554,73.366,2.6,92.80504296,3.616,7.0902,68.38998,92.9098,Developed
2005,Iceland,49620,48.721,68.861,2.4,92.53653501,NA,6.963,70.35714,93.037,Developed
2006,Iceland,52400,53.104,76.417,2.3,92.02892803,3.77,6.8456,72.66466,93.1544,Developed
2007,Iceland,58780,45.558,71.144,2.2,91.73428187,NA,6.7282,71.76684,93.2718,Developed
2008,Iceland,46860,39.731,63.413,2.1,91.70621188,3.934,6.6108,74.20909,93.3892,Developed
2009,Iceland,39230,39.966,73.242,2,92.25144996,NA,6.4934,74.46415,93.5066,Developed
2010,Iceland,33900,36.335,70.518,1.9,92.92094753,3.733,6.376,78.47237,93.624,Developed
2011,Iceland,35180,NA,NA,1.8,92.93180181,3.456,6.2708,80.94236,93.7292,Developed
2012,Iceland,38270,NA,NA,1.8,92.62314243,3.476,6.1656,NA,93.8344,Developed
1994,Japan,36610,49.952,101.047,4.3,NA,1.8,22.1194,38.65585,77.8806,Developed
1995,Japan,41350,51.706,102.291,4.1,78.85276757,NA,21.984,39.88429,78.016,Developed
1996,Japan,42090,49.148,98.432,4,79.70970951,1.8,21.8574,NA,78.1426,Developed
1997,Japan,39250,48.685,97.419,3.8,80.80766584,NA,21.7308,NA,78.2692,Developed
1998,Japan,33510,48.959,100.427,3.6,80.06493482,1.9,21.6042,45.11409,78.3958,Developed
1999,Japan,32870,48.871,101.673,3.4,79.77732718,NA,21.4776,46.63007,78.5224,Developed
2000,Japan,35040,47.608,98.301,3.3,80.10354173,1.9,21.351,48.73639,78.649,Developed
2001,Japan,35600,46.392,96.614,3.1,81.42721429,NA,19.8852,49.91419,80.1148,Developed
2002,Japan,33750,45.287,94.862,3,82.99758368,2,18.4194,50.70765,81.5806,Developed
2003,Japan,34010,44.905,95.879,2.9,83.7955932,NA,16.9536,51.83603,83.0464,Developed
2004,Japan,37150,45.213,92.435,2.9,84.40043335,2.12,15.4878,53.57715,84.5122,Developed
2005,Japan,39140,45.03,92.669,2.7,83.59433486,NA,14.022,54.97135,85.978,Developed
2006,Japan,38600,44.338,89.666,2.7,82.67333262,2.063,13.1094,57.1059,86.8906,Developed
2007,Japan,37660,43.316,87.381,2.6,82.18197822,NA,12.1968,57.81827,87.8032,Developed
2008,Japan,37870,42.833,85.643,2.5,80.92813286,2.142,11.2842,57.644,88.7158,Developed
2009,Japan,37610,41.835,84.85,2.4,81.0396766,NA,10.3716,57.6837,89.6284,Developed
2010,Japan,42190,NA,NA,2.4,80.62057918,2.297,9.459,58.07908,90.541,Developed
2011,Japan,45130,NA,NA,2.3,80.62057918,NA,8.8648,59.92406,91.1352,Developed
2012,Japan,47870,NA,NA,2.2,80.62057918,NA,8.2706,NA,91.7294,Developed
1994,Seychelles,6410,NA,NA,12.7,NA,NA,50.4496,86.64735,49.5504,Developed
1995,Seychelles,6430,NA,NA,12.4,99.06976744,NA,50.379,86.6907,49.621,Developed
1996,Seychelles,6690,NA,NA,12.2,99.06976744,1.324,50.2232,88.89334,49.7768,Developed
1997,Seychelles,7310,NA,NA,12.1,99.06976744,NA,50.0674,NA,49.9326,Developed
1998,Seychelles,7310,NA,NA,12,99.06976744,NA,49.9116,95.36817,50.0884,Developed
1999,Seychelles,7310,NA,NA,11.9,99.06976744,NA,49.7558,91.4282,50.2442,Developed
2000,Seychelles,7390,122,268,11.9,99.08963522,NA,49.6,89.62215,50.4,Developed
2001,Seychelles,7210,NA,NA,11.9,98.8576752,NA,49.359,87.46583,50.641,Developed
2002,Seychelles,6840,NA,NA,12,98.69689282,NA,49.118,90.11236,50.882,Developed
2003,Seychelles,7440,NA,NA,12,98.49208135,NA,48.877,93.17752,51.123,Developed
2004,Seychelles,8810,NA,NA,12,98.11161857,1.513,48.636,93.23017,51.364,Developed
2005,Seychelles,10540,NA,NA,12,97.23526749,NA,48.395,97.00862,51.605,Developed
2006,Seychelles,11920,NA,NA,12,83.67660787,NA,48.069,NA,51.931,Developed
2007,Seychelles,12370,NA,NA,11.9,72.93849313,NA,47.743,97.20733,52.257,Developed
2008,Seychelles,11260,NA,NA,11.9,70.98556228,NA,47.417,96.52003,52.583,Developed
2009,Seychelles,10350,107.5083769,227.1176805,11.8,67.70428016,NA,47.091,96.46725,52.909,Developed
2010,Seychelles,10270,NA,NA,11.7,38.14048198,NA,46.765,94.24642,53.235,Developed
2011,Seychelles,11340,NA,NA,11.5,88.20730218,NA,46.3764,95.19601,53.6236,Developed
2012,Seychelles,12180,NA,NA,11.2,35.43414147,NA,45.9878,NA,54.0122,Developed
1994,United States,27750,89.41,168.846,8.2,NA,NA,23.14,77.97709,76.86,Developed
1995,United States,29150,89.278,166.788,8,26.36567211,2,22.75,77.95615,77.25,Developed
1996,United States,30380,86.968,157.77,7.7,25.96528451,2,22.3822,77.45111,77.6178,Developed
1997,United States,31390,85.238,149.188,7.5,26.13443743,2.1,22.0144,NA,77.9856,Developed
1998,United States,32150,83.401,145.251,7.3,26.11931828,2.1,21.6466,70.39411,78.3534,Developed
1999,United States,33800,83.645,144.537,7.2,25.52813942,2.2,21.2788,71.906,78.7212,Developed
2000,United States,36090,83.253,143.763,7.1,25.02140352,2.56,20.911,67.84923,79.089,Developed
2001,United States,36840,84.092,144.198,7,24.33288824,2.2,20.5826,68.61805,79.4174,Developed
2002,United States,37460,83.75,144.426,6.9,23.45053917,2.3,20.2542,78.7994,79.7458,Developed
2003,United States,39950,83.425,143.705,6.8,24.19154683,NA,19.9258,80.66302,80.0742,Developed
2004,United States,43690,81.399,140.467,6.8,23.88703478,2.672,19.5974,80.742,80.4026,Developed
2005,United States,46350,81.397,141.797,6.8,23.73021576,NA,19.269,81.31697,80.731,Developed
2006,United States,48080,81.169,141.47,6.7,23.30060663,NA,18.9866,81.2776,81.0134,Developed
2007,United States,48640,79.348,138.446,6.6,23.21630674,NA,18.7042,82.25604,81.2958,Developed
2008,United States,49350,78.696,136.775,6.5,23.03787801,NA,18.4218,84.21237,81.5782,Developed
2009,United States,48040,79.044,134.935,6.4,22.71148695,2.422,18.1394,87.73228,81.8606,Developed
2010,United States,48960,77.187,131.902,6.3,22.40796254,2.422,17.857,93.29339,82.143,Developed
2011,United States,50650,NA,NA,6.2,21.99532542,2.452,17.616,95.33196,82.384,Developed
2012,United States,52340,NA,NA,6,20.72377158,NA,17.375,NA,82.625,Developed
